person_list,cluster,vipr_score,vipr_weight,sentiment_score,circulation_size,mention_count,cluster_label
Martinez,1.0,-9454.509433962265,830.9811320754717,-6.622641509433962,154956.05660377358,53,Lower Visibility / Negative Tone
W.,1.0,-9815.396226415094,859.5849056603773,-8.660377358490566,627269.8113207547,53,Lower Visibility / Negative Tone
Catherine Russell,1.0,-10448.075471698114,781.6415094339623,-9.830188679245284,5261955.622641509,53,Lower Visibility / Negative Tone
Ali,1.0,-13995.905660377359,858.4905660377359,-8.830188679245284,8679434.528301887,53,Lower Visibility / Negative Tone
Mary,1.0,1030.9038461538462,656.6538461538462,-5.615384615384615,193905.46153846153,52,Lower Visibility / Negative Tone
Ron Johnson,1.0,-2868.846153846154,568.2692307692307,-5.884615384615385,429229.5576923077,52,Lower Visibility / Negative Tone
Cheng,1.0,-5814.615384615385,674.1153846153846,-8.384615384615385,2294200.576923077,52,Lower Visibility / Negative Tone
Bobby Kennedy,1.0,-8016.288461538462,760.6153846153846,-7.096153846153846,1503116.0961538462,52,Lower Visibility / Negative Tone
Margaret Harris,1.0,-9738.01923076923,653.5384615384615,-7.3076923076923075,763586.8846153846,52,Lower Visibility / Negative Tone
Sten Vermund,1.0,-11056.423076923076,699.7307692307693,-13.211538461538462,4690301.980769231,52,Lower Visibility / Negative Tone
Putin,1.0,-11151.461538461539,817.6730769230769,-7.4423076923076925,3035631.6153846155,52,Lower Visibility / Negative Tone
Yang,1.0,-11516.961538461539,920.7884615384615,-7.615384615384615,525652.1153846154,52,Lower Visibility / Negative Tone
Lori Bergamotto,1.0,511.6078431372549,546.9411764705883,-6.588235294117647,3748676.0784313725,51,Lower Visibility / Negative Tone
Miller,1.0,54.549019607843135,535.3921568627451,1.0588235294117647,299162.01960784313,51,Lower Visibility / Negative Tone
Ed,1.0,-1433.862745098039,696.4313725490196,-4.8431372549019605,2305444.8235294116,51,Lower Visibility / Negative Tone
Anne Schuchat,1.0,-5009.274509803921,738.2352941176471,-5.686274509803922,846498.7450980392,51,Lower Visibility / Negative Tone
Ashish Jha,1.0,-6129.06,817.62,-4.26,971083.08,50,Lower Visibility / Negative Tone
Gurgu Cphone,1.0,-6909.86,627.64,-6.36,627958.92,50,Lower Visibility / Negative Tone
Russell Rabichev,1.0,-6909.86,627.64,-6.36,627958.92,50,Lower Visibility / Negative Tone
Jeremy Farrar,1.0,-8423.6,682.56,-7.86,11060581.18,50,Lower Visibility / Negative Tone
Jason,1.0,-12570.22,706.52,-11.88,815438.0,50,Lower Visibility / Negative Tone
Ron Wyden,1.0,321.9795918367347,655.1632653061224,1.6326530612244898,212725.3469387755,49,Lower Visibility / Negative Tone
Adam,1.0,-2829.8979591836733,751.6122448979592,-2.4081632653061225,705987.1224489796,49,Lower Visibility / Negative Tone
Angela Rasmussen,1.0,-3122.5510204081634,824.2244897959183,-10.142857142857142,321331.79591836734,49,Lower Visibility / Negative Tone
Valencia,1.0,-3887.877551020408,611.5918367346939,-6.36734693877551,318403.7551020408,49,Lower Visibility / Negative Tone
Robin,1.0,-4460.65306122449,596.9183673469388,-5.755102040816326,2965974.93877551,49,Lower Visibility / Negative Tone
