row_index,tag_name,persons,has_person
189,public_health,"Vanessa Lindley, Bradley",1
190,public_health,"Steven Teutsch, Beau Kilmer, Aaron Smith",1
191,public_health,David Chiu,1
192,public_health,Michael Ryan,1
193,public_health,"Rizek Abdeljawad, Layan Mahdi, Layan, Noaman Nassar, Marwan Al-Hams",1
194,public_health,Samina Hooda,1
195,public_health,,0
196,public_health,Tedros Ghebreyesus,1
197,public_health,"Anh Kremer, Mark Rakowski",1
198,public_health,"Lori Freeman, Donald Trump, James Williams, Kim Cristino, Mecklenburg, Raynard Washington, Umair Shah, Jenkins, Robert Kennedy, Andrew Nixon, Manisha Juthani, Steven Stack, Sara Cody, Michael Eby",1
199,public_health,Robert Rosenson,1
200,public_health,"Jim Siebert, Jim, Joe Erlinger, Bill Marler, Bill",1
201,public_health,"Spenser Brassard, Martha Beck, K.",1
202,public_health,"Tim Whitehouse, Samantha Liskow, Peer, Colleen Teubner",1
203,world_health_leadership,Gabriel Wardi,1
204,public_health,,0
205,public_health,"Yellow Dye, Patrick Morrisey, Red No, Jessica Ball",1
206,public_health,"Joe Biden, Mandy Cohen, Reuben Jones, Tim",1
207,public_health,"Ben Newhouse, Famous Yeti, Bonnie Armstrong, Cale Ryan, Madison",1
208,public_health,"Burton, Mark Feinberg, Donald Trump, Linda Becker, Jonathan News, Umberto Rodriguez, Norma Martinez",1
209,public_health,"Daniel, Emmitt Smith, Jerry Rice, Tim Brown, Andrew, Beyonce, Arthur Blank, Daniel Logn",1
210,public_health,"Dionne Johnson, Chartell Grissom, Joanna Urive, Iris Firgens, Volunteer, Americorps Week",1
211,health_campaign,"Donald Trump, Les, Bobby Kennedy, Robert Kennedy, Matt, Pete Hegseth, Bobby",1
212,public_health,Chiranjeev Sinha,1
213,public_health,"Mupara Al., Hamann Al., Xiao Al., Chatwood, Malapane Al., Austin, Davis, Moyo, Rebaudet Al., Al., Cilliers Al., Rounsevell, Svalastog Al., Sousa Santos, Van Druten, Vibrio Cholerae, Et Al., Steiner, Morton Ninomiya, Echenberg, Carrie, Corso Al., Ooms, Yin, Bowen, Owen, Vibrio, Ray Al., Mashe, Dixon, Yim Et, Tompson, Mccartney, Mickelsson, Chandler, Kubata Maoko, Saidi, Mandikonza Al., Hunozadzisa Nekudya, Mandikonza Al, Denyer Willis, Yim Al",1
214,public_health,"Bill Mar, Nisha Watt, Donald Trump, Robert Kennedy, Bobby Kennedy, Casey, Lars Larson, Richard, Bob Cylinder, Carter, Jackson, Joseph Cornell, Josh Quick, Robert Cox",1
215,public_health,"Eric Mccarty, Carpenter, John",1
216,health_campaign,"Hmwe Kyu, Pierre Delobel, Andrew Hill, Robert Olivi, Pamela Pambianchi, Ar, Raymond Stough, Monticello",1
217,public_health,"John Nkengasong, Donald Trump, Javier Guzman, Josh Michaud, Chandy John, Ryan White, Lawrence Gostin",1
218,public_health,"Otsuka, Masanori Kawasaki, John Kraus, Antimicrob Chemother, Dawson, Delamanid, Robert Murphy, Jeffrey Gilbert",1
219,public_health,"Bob Roth, Lily-Rose Depp, Nicholas Hoult, Tony, Robin, Greg, Michael",1
220,public_health,"Silvia Bertagnolio, Yukiko Nakatani",1
221,public_health,Paul Cieslak,1
222,public_health,Lauren,1
223,health_campaign,"Yogi Adityanath, The Kumbh",1
224,public_health,Saima Wazed,1
225,public_health,"Christopher Skeete, Laurent Chatel-Chaix, Usutu, David Chatenet",1
226,public_health,Palak Raval-Nelson,1
227,public_health,,0
228,public_health,Head Bologna,1
229,public_health,"Emelyne Nzeyimana, Sandrine Kitonze, Serena Facci, Isaac Nikobiba",1
230,public_health,Naveen Kumar,1
231,public_health,,0
232,public_health,"Katie, Anderson, Kamala Harris, Donald Trump, Tim Walz, Phil, Jack Smith, Hunter Biden, Nancy Pelosi, Hillary, Anthony Fauci, Bill Gates, Hillary Clinton, Joe Biden, Leticia James, Maxine Waters, David Urban, Ashley Allison, Abby Phillip, Abby",1
233,public_health,"Hackernews, Bill Gates",1
234,public_health,"Krishna Satyan, Denning",1
235,public_health,"Ketzel Levens, Tom Bradshaw",1
236,public_health,"Susan Monarez, Donald Trump, David Weldon, Leslie Dauphin, Karen Remley, Sam Posner, Debra Lubar, Leandris Liburd, Kevin Griffis, Robin Bailey, Nirav Shah",1
237,public_health,"Tedros Ghebreyesus, Tedros, Donald Trump",1
238,public_health,Professor Involved,1
239,public_health,"Jonathan Poet, Monica Serrano-Gonzalez, Betty Gold, Juno Demelo, Elizabeth Pearce, Tim Henderson, Jean Kerver, Karen Garcia",1
240,public_health,Sharon Burns,1
241,public_health,Produce Rx,1
242,world_health_leadership,"Daniel Myran, Jama Open",1
243,public_health,"Bruce Aylward, Tedros Ghebreyesus",1
244,world_health_leadership,"Farida Hosani, Al Hosani, Mohamed Nahyan",1
245,public_health,"Diop Dakar, Acta Microbiol, Save Gabon, Hepatocystis, Hepatocystis Spp, Tissue Kit, Tris, Maximum Likelihood, Gamma, Subtree Regrafting, Hepatocystis Spp., T., T. Gambiense, Boundenga, Delahaye, Couette",1
246,world_health_leadership,"Morrisey Strengthens, Fentanyl Laws, Patrick Morrisey",1
247,public_health,,0
248,public_health,"Andrea Campbell, Charlie Baker, Stephen Clark",1
249,public_health,Gregory Gray,1
250,public_health,"Samuel Hampsher-Monk, James Prieger, Donald Kenkel, Palgrave Macmillan, Springer Nature",1
251,public_health,"Lyle Menendez, Donald Trump, Jack Smith, Gavin Nm",1
252,public_health,"Worcester, Dave Anthony, Donald Trump, Grants Pass, Joe Biden, Mike John, Tim Waltz, Merrick Garland, Anna Luna, Bill Trapero, Bill Ferrell, Superstar, Tom, Sarah Spain",1
253,public_health,Barbara Rodriguez,1
254,public_health,Atil Inc.,1
255,public_health,"Bob Dylan, Cheers, John Hancock, Alexander Hamilton, Stanley, Lin, Barron, Kung Lao, Mortal Kombat, Broligarchs, Zuck, Bezos, Tim Apple, Joe, Eric, Pete Hegseth, Zuckerberg",1
256,public_health,"Islam Saleh, Jordana Miller, Dana Savir, Dimes, Donald Trump, Kamala Harris, Andrew Cuomo",1
257,public_health,"Cary Sun, Drazen Zigic",1
258,public_health,"Sagar Meghani, Darlene Superville, Joe Biden, Michelle Obama, Clinton, Bush, Carrie Underwood, Terry Lipshetz, Lee Enterprises, Terry, Donald Trump, Hegseth, Michelle",1
259,public_health,"Antibiotics, Methicillin, Carbepenem, Acinetobacter Baumannii, Gram, Albalawi, Z., Van Asten, Abbas, Allison, G., J., Embil, Alhasan, Nat, Endocrinol, Barber, Cretella, Jl. Diabetic, Ishigami, Lutsey, Diabetologia, Blough, Reiber, Eh. Incidence, Lipsky, Lancet, Y., Dinccag, N., Ayak, Klimik Derg, Strazzabosco, Presi, Lora, L., Bonato, De Lalla, Kronik, Akademisyen Kitabevi, Extrem, Vasanthi Mohan, Panchamoorthy, Verma, Sk. Changing, Kono, Lavery, Aksoy, Kayaaslan, Eser, Rg. An, Guo, Yang, Yuan, Wei, Ye, Vardar, Bakteriyolojik Olarak, Petrikkos, Daikos, Tsapogas, Markou, Katsilambros, Corekli, Ayak Infeksiyonu, Yillara Gore",1
260,public_health,"Daniel Edney, Jennifer Bryan, Tate Reeves, Jeremy Pittari",1
261,public_health,"Katherine Wells, Justin Lessler, William Moss, Robert Kennedy, Lara Anton",1
262,public_health,"Bird Alarm, Joe Biden, Lawrence Gostin, Donald Trump, Robert Kennedy, Dorit Reiss, Quick Response, David Boucher, Robert Kadlec, Ian Lopez, Zachary Sherwood, Brent Bierman, Karl Hardy",1
263,public_health,"Kofi Annan, David Lalloo, Strike Snakebite, Antivenom",1
